,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
0,3,2,0.12,Adjuntas,Puerto Rico,601,920,,105000
1,4,2,0.08,Adjuntas,Puerto Rico,601,1527,,80000
2,2,1,0.15,Juana Diaz,Puerto Rico,795,748,,67000
3,4,2,0.1,Ponce,Puerto Rico,731,1800,,145000
4,4,3,0.46,San Sebastian,Puerto Rico,612,2520,,179000
5,3,1,0.2,Ciales,Puerto Rico,639,2040,,50000
6,3,2,0.08,Ponce,Puerto Rico,731,1050,,71600
7,2,1,0.09,Ponce,Puerto Rico,730,1092,,100000
8,5,3,7.46,Las Marias,Puerto Rico,670,5403,,300000
9,3,2,13.39,Isabela,Puerto Rico,662,1106,,89000
10,3,2,0.08,Juana Diaz,Puerto Rico,795,1045,,150000
11,3,2,0.1,Lares,Puerto Rico,669,4161,,155000
12,5,2,0.12,Utuado,Puerto Rico,641,1620,,79000
13,5,5,0.74,Ponce,Puerto Rico,731,2677,,649000
14,3,2,0.08,Yauco,Puerto Rico,698,1100,,120000
15,4,4,0.22,Mayaguez,Puerto Rico,680,3450,,235000
16,3,2,0.08,Ponce,Puerto Rico,728,1500,,105000
17,3,2,3.88,San Sebastian,Puerto Rico,685,4000,,575000
18,6,3,0.25,Anasco,Puerto Rico,610,1230,,140000
19,2,1,0.23,Yauco,Puerto Rico,698,621,,50000
20,6,3,0.1,Moca,Puerto Rico,676,3000,,165000
21,3,1,2.0,Coamo,Puerto Rico,769,1213,,189000
22,3,2,0.05,Yauco,Puerto Rico,698,1118,,122500
23,3,2,0.28,San Sebastian,Puerto Rico,685,1500,,255000
24,4,3,0.3,Ponce,Puerto Rico,730,3000,,425000
25,4,2,0.11,Guayanilla,Puerto Rico,656,1300,,93000
26,4,2,0.04,Manati,Puerto Rico,676,1080,,75000
27,3,2,0.69,Isabela,Puerto Rico,662,2505,,469000
28,6,3,1.75,Villalba,Puerto Rico,766,1943,,189000
29,5,4,0.12,Ponce,Puerto Rico,717,1600,,225000
30,4,2,3.08,Santa Isabel,Puerto Rico,757,2886,,495000
31,1,1,0.1,Ponce,Puerto Rico,730,850,,220000
32,3,1,0.23,Yauco,Puerto Rico,698,936,,70500
33,3,2,1.13,Moca,Puerto Rico,676,1928,,305000
34,4,4,4.84,San Sebastian,Puerto Rico,685,3690,,475000
35,3,4,1.94,Utuado,Puerto Rico,641,2500,,195000
36,4,2,0.24,Las Marias,Puerto Rico,670,1800,,120000
37,9,7,0.46,Mayaguez,Puerto Rico,680,3709,,650000
38,5,3,0.16,Ponce,Puerto Rico,730,3100,,555000
39,6,6,0.94,Penuelas,Puerto Rico,624,9297,,3900000
40,3,2,0.1,Aguada,Puerto Rico,602,600,,95000
41,3,1,0.09,Aguada,Puerto Rico,602,900,,74000
42,4,2,0.15,Aguada,Puerto Rico,602,3000,,139500
43,1,1,0.26,Aguada,Puerto Rico,602,2100,,149900
44,2,2,0.24,Aguada,Puerto Rico,602,1138,,180000
45,3,2,0.13,Aguada,Puerto Rico,602,1380,,249000
46,6,4,0.23,Aguada,Puerto Rico,602,2500,,252000
47,2,1,0.07,Aguada,Puerto Rico,602,813,,90000
48,5,3,1.78,Aguada,Puerto Rico,602,2962,,500000
49,4,2,0.1,Aguada,Puerto Rico,602,1955,,339000
50,3,2,0.08,Aguada,Puerto Rico,602,1200,,265000
51,6,5,0.12,Aguada,Puerto Rico,602,6000,,10000000
52,3,4,2.0,Aguada,Puerto Rico,602,1880,,389000
53,3,2,2.96,Aguada,Puerto Rico,602,2500,,575000
54,7,5,0.31,Aguada,Puerto Rico,602,2775,,375000
55,5,3,8.74,Aguada,Puerto Rico,602,5517,,1399000
56,6,5,0.1,Aguada,Puerto Rico,602,2400,,600000
57,3,2,0.22,Aguadilla,Puerto Rico,603,2070,,215000
58,3,2,0.05,Aguadilla,Puerto Rico,603,1184,,63000
59,3,2,0.22,Aguadilla,Puerto Rico,603,1900,,215000
60,3,1,0.2,Aguadilla,Puerto Rico,603,980,,115000
61,4,2,0.89,Aguadilla,Puerto Rico,603,1408,,99000
62,5,5,0.62,Aguadilla,Puerto Rico,603,8460,,850000
63,3,2,0.11,Aguadilla,Puerto Rico,603,1116,,140000
64,4,3,0.26,Aguadilla,Puerto Rico,603,3734,,499000
65,3,2,0.17,Aguadilla,Puerto Rico,603,1500,,180000
66,6,3,0.49,Aguadilla,Puerto Rico,603,2618,,225900
67,4,2,0.12,Aguadilla,Puerto Rico,603,1760,,260000
68,4,3,0.33,Aguadilla,Puerto Rico,603,2950,,500000
69,3,2,0.21,Aguada,Puerto Rico,603,1565,,225000
70,4,2,0.95,Aguadilla,Puerto Rico,603,3468,,425000
71,4,2,10.76,Aguadilla,Puerto Rico,603,547,,300000
72,3,2,0.15,Aguadilla,Puerto Rico,603,2280,,290000
73,3,4,0.2,Aguadilla,Puerto Rico,603,4020,,550000
74,6,2,0.18,Aguadilla,Puerto Rico,603,2035,,234900
75,5,3,0.52,Aguadilla,Puerto Rico,603,3267,,620000
76,8,3,0.19,Aguadilla,Puerto Rico,603,3700,,649900
77,5,2,4.55,Maricao,Puerto Rico,606,2156,,98000
78,5,2,5.14,Maricao,Puerto Rico,606,2156,,55000
