,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
534,7,3,0.09,Dorado,Puerto Rico,949,1192,2019-06-28,110000
6664,5,4,0.99,Saint Thomas,Virgin Islands,802,5000,2013-10-11,950000
6666,4,6,0.83,Saint Thomas,Virgin Islands,802,4600,2018-04-05,6899000
13947,3,3,0.45,Agawam,Massachusetts,1001,2314,2014-06-25,525000
13948,3,2,0.36,Agawam,Massachusetts,1001,1276,2012-10-12,289900
13951,3,2,0.46,Agawam,Massachusetts,1001,1476,1986-11-20,384900
13953,3,2,1.76,Agawam,Massachusetts,1001,1968,2008-09-19,199999
13954,4,2,2.0,Pelham,Massachusetts,1002,1607,2005-07-25,419000
13955,4,3,0.56,Amherst,Massachusetts,1002,2847,1992-06-24,745000
13956,4,4,1.5,Pelham,Massachusetts,1002,4366,1996-07-12,875000
13957,4,4,0.77,Amherst,Massachusetts,1002,3879,1993-08-11,699900
13958,3,2,0.16,Amherst,Massachusetts,1002,1280,2021-08-19,275000
13961,4,2,0.49,Amherst,Massachusetts,1002,1814,1997-06-30,415000
13962,3,2,0.5,Amherst,Massachusetts,1002,1128,1998-09-17,390000
13963,4,3,0.65,Amherst,Massachusetts,1002,3465,2006-10-03,865000
13964,4,3,0.46,Amherst,Massachusetts,1002,2143,1988-06-10,499900
13965,5,4,0.64,Amherst,Massachusetts,1002,2363,2004-07-28,650000
13967,3,4,3.04,Amherst,Massachusetts,1002,2074,2006-06-21,975000
13968,3,2,0.2,Amherst,Massachusetts,1002,1349,2005-09-02,439900
13972,2,2,0.51,Granby,Massachusetts,1033,2000,2001-12-13,397000
13978,2,2,0.92,Whately,Massachusetts,1093,1723,1997-09-25,389900
13979,4,3,3.8,Sunderland,Massachusetts,1375,2768,2009-07-17,459900
13980,4,3,0.29,Chicopee,Massachusetts,1020,1514,1996-07-30,249900
13981,4,2,0.56,Granby,Massachusetts,1033,1523,2007-09-19,324900
13982,3,2,1.02,Belchertown,Massachusetts,1007,1617,2001-10-05,364900
13983,2,1,0.28,Chicopee,Massachusetts,1013,1207,2011-11-29,240000
13984,2,1,0.4,South Hadley,Massachusetts,1075,1034,1996-02-28,224900
13987,3,2,0.11,Ludlow,Massachusetts,1056,2240,2000-10-03,299500
13989,3,3,1.82,Orange,Massachusetts,1364,2096,2000-06-30,469900
13991,4,2,0.3,South Hadley,Massachusetts,1075,2112,2001-05-24,295000
13993,6,2,0.23,Holyoke,Massachusetts,1040,2399,2017-09-05,339000
13995,2,2,0.05,Chicopee,Massachusetts,1013,1200,2002-06-12,275000
13996,4,3,0.41,Easthampton,Massachusetts,1027,2590,2003-10-01,579900
13997,3,2,0.3,Holyoke,Massachusetts,1040,1880,2002-02-15,365000
13998,1,1,0.31,Belchertown,Massachusetts,1007,640,2000-08-03,215000
14000,3,2,0.14,Northampton,Massachusetts,1062,1728,2003-05-30,499000
14001,3,2,0.12,Northampton,Massachusetts,1060,1531,2009-05-01,489900
14007,1,1,0.4,Barre,Massachusetts,1005,634,2003-10-28,65000
14011,3,1,0.12,Barre,Massachusetts,1005,1175,1996-12-13,273900
14013,4,5,3.97,Barre,Massachusetts,1005,5023,1988-06-24,849900
14014,3,3,4.08,Barre,Massachusetts,1005,2283,1996-05-31,449900
14016,2,1,0.6,Belchertown,Massachusetts,1007,802,2009-06-26,169999
14017,5,3,0.32,Belchertown,Massachusetts,1007,1850,2012-12-14,299900
14023,3,3,1.08,Belchertown,Massachusetts,1007,2360,2009-04-01,435000
14026,2,3,30.0,Belchertown,Massachusetts,1007,2130,2013-06-27,330000
14269,3,2,0.25,Holyoke,Massachusetts,1040,1637,2002-06-26,174900
14270,5,2,0.13,Holyoke,Massachusetts,1040,1924,2001-10-15,175000
14271,5,2,1.27,Orange,Massachusetts,1364,1495,2011-04-29,160000
14272,2,2,6.0,Leverett,Massachusetts,1054,1779,1997-05-29,389900
14274,3,1,0.69,Southampton,Massachusetts,1073,1200,2000-07-10,300000
14279,4,2,0.11,Holyoke,Massachusetts,1040,1989,1992-07-10,239900
14280,1,2,0.53,Greenfield,Massachusetts,1301,3792,2008-09-24,299900
14282,3,2,0.22,Easthampton,Massachusetts,1027,2037,2008-11-20,299900
14284,5,2,1.85,South Hadley,Massachusetts,1075,4510,2005-02-01,759000
14287,3,2,0.05,Holyoke,Massachusetts,1040,1644,2018-01-18,139000
14288,2,1,0.25,South Hadley,Massachusetts,1075,800,2004-07-06,110000
14289,3,2,0.25,Holyoke,Massachusetts,1040,4620,1997-12-12,215000
14294,4,2,1.3,Deerfield,Massachusetts,1373,2032,1993-12-13,386000
14295,3,1,3.87,West Springfield,Massachusetts,1089,1008,1989-07-14,375000
14298,4,5,7.81,Hadley,Massachusetts,1035,7000,1997-08-06,1295000
14301,4,4,1.59,Deerfield,Massachusetts,1373,3444,2002-05-17,799000
14302,5,2,0.15,Chicopee,Massachusetts,1020,2316,2020-09-28,289900
14303,4,2,0.17,Chicopee,Massachusetts,1013,2030,1996-12-30,195500
14304,3,5,14.48,Williamsburg,Massachusetts,1038,3112,2004-04-29,1390000
14312,3,3,19.23,Southampton,Massachusetts,1073,2268,2002-11-22,285000
14316,1,1,0.29,Greenfield,Massachusetts,1301,640,1988-03-01,184900
14317,2,1,0.15,Easthampton,Massachusetts,1027,1276,1996-11-27,195000
14318,3,3,0.1,South Hadley,Massachusetts,1075,1781,2009-08-21,219900
14321,3,1,0.13,Holyoke,Massachusetts,1040,1456,2019-10-21,279900
14324,2,1,0.22,Greenfield,Massachusetts,1301,816,1993-04-29,215000
14325,3,2,0.25,Northampton,Massachusetts,1062,1609,2004-06-29,425000
14326,4,3,0.46,South Hadley,Massachusetts,1075,2108,2021-09-21,400000
14327,4,5,1.02,Granby,Massachusetts,1033,2396,2015-01-09,500000
14330,5,2,0.38,Northampton,Massachusetts,1060,3364,1991-05-22,689000
14333,4,2,0.13,Chicopee,Massachusetts,1020,1596,2007-03-21,249987
14343,3,1,0.26,Chicopee,Massachusetts,1020,1048,2005-07-18,199900
14344,4,2,0.14,Holyoke,Massachusetts,1040,2040,2000-08-16,185000
14347,4,2,0.12,Holyoke,Massachusetts,1040,1599,1996-01-31,214900
14350,5,2,0.85,South Hadley,Massachusetts,1075,1605,2017-02-13,379900
14355,3,1,0.29,Greenfield,Massachusetts,1301,1482,2001-10-31,275000
14356,4,2,0.62,Ludlow,Massachusetts,1056,1988,2016-08-11,379900
14359,3,2,1.07,Greenfield,Massachusetts,1301,1100,2006-08-31,340000
14362,6,4,0.16,Chicopee,Massachusetts,1020,2844,2019-12-30,300000
14363,4,2,0.18,Northampton,Massachusetts,1060,2382,1990-08-02,824900
14364,4,1,0.91,Easthampton,Massachusetts,1027,1404,2021-09-23,349900
14366,4,2,0.11,Chicopee,Massachusetts,1013,1872,2004-08-20,259900
14368,3,2,0.16,Springfield,Massachusetts,1104,1284,2011-08-26,240000
14369,5,5,2.0,Williamsburg,Massachusetts,1096,4476,2009-06-30,1290000
14370,3,1,0.26,Holyoke,Massachusetts,1040,1096,2019-05-10,289900
14373,2,2,0.23,South Hadley,Massachusetts,1075,1210,2004-05-21,199900
14375,9,10,2.83,Greenfield,Massachusetts,1301,5512,2004-07-01,945000
